Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
GUFL,607.10,-0.15,632.00,604.00,610.00,"20,645",,,N/A,N/A
GVL,499.90,1.4,499.90,485.30,490.60,"10,993",,,N/A,N/A
H8020,10.21,0.29,10.30,9.99,9.99,"12,500",,,N/A,N/A
HATHY,"1,345.00",-3.38,"1,380.00","1,336.10","1,370.20","25,085",,,N/A,N/A
HBL,239.00,-0.83,245.70,236.20,245.70,"44,568",,,N/A,N/A
HBLD86,"1,100.00",0,"1,100.00","1,100.00","1,100.00",25,,,N/A,N/A
HDHPC,202.90,-0.98,208.00,201.10,206.00,"100,525",,,N/A,N/A
HDL,"1,218.00",0.26,"1,238.00","1,200.00","1,238.00","56,101",,,N/A,N/A
HEI,626.90,-1.59,637.00,625.00,637.00,"8,285",,,N/A,N/A
HEIP,380.00,-1.55,386.00,380.00,380.40,"1,659",,,N/A,N/A
HHL,517.00,-3.9,551.00,515.10,530.00,"16,540",,,N/A,N/A
HIDCL,271.70,-2.02,278.00,270.00,271.80,"215,254",,,N/A,N/A
HIDCLP,178.50,0.34,179.90,175.80,179.90,"182,407",,,N/A,N/A
HLBSL,967.00,-3.3,989.90,966.00,988.30,"5,446",,,N/A,N/A
HLI,431.00,-1.37,438.00,428.00,437.10,"46,739",,,N/A,N/A
HPPL,590.00,-1.67,605.00,580.00,588.00,"87,166",,,N/A,N/A
HRL,999.00,-3.21,"1,043.00",997.00,"1,043.00","582,670",,,N/A,N/A
HURJA,246.00,-1.44,253.00,245.10,250.00,"113,599",,,N/A,N/A
ICFC,632.00,-1.08,639.90,626.00,633.00,"21,673",,,N/A,N/A
ICFCD88,"1,060.00",1.58,"1,060.00","1,036.80","1,036.80",704,,,N/A,N/A
IGI,604.50,-0.58,620.00,600.20,618.00,"20,085",,,N/A,N/A
IHL,695.00,-2.66,714.00,687.10,714.00,"8,535",,,N/A,N/A
ILBS,990.00,-0.5,"1,004.00",976.00,990.00,"4,279",,,N/A,N/A
ILI,475.00,-1.25,484.00,474.00,475.10,"37,853",,,N/A,N/A
JBBD87,"1,038.00",-0.95,"1,038.00","1,038.00","1,038.00",25,,,N/A,N/A
JBBL,358.00,-2.69,367.00,358.00,367.00,"88,680",,,N/A,N/A
JBLB,"1,368.00",-1.44,"1,389.00","1,360.00","1,372.00","4,506",,,N/A,N/A
JFL,534.50,-1.2,551.80,531.00,551.80,"34,340",,,N/A,N/A
JOSHI,383.10,-2.52,397.80,383.10,393.00,"40,067",,,N/A,N/A
JSLBB,"1,529.90",-2.59,"1,600.00","1,512.00","1,600.00","1,300",,,N/A,N/A
KBL,207.00,-1.43,214.10,206.20,214.10,"175,967",,,N/A,N/A
KBLD86,"1,105.00",0,"1,105.00","1,105.00","1,105.00",25,,,N/A,N/A
KBLD89,"1,172.50",1.95,"1,172.50","1,172.50","1,172.50",44,,,N/A,N/A
KBLD90,"1,112.00",-1.55,"1,112.00","1,112.00","1,112.00",25,,,N/A,N/A
KBSH,"2,420.00",-3.97,"2,549.00","2,385.00","2,549.00","1,541",,,N/A,N/A
KDBY,9.30,-0.43,9.35,9.16,9.16,"4,650",,,N/A,N/A
KDL,"1,144.00",-1.89,"1,166.00","1,143.00","1,149.00","3,055",,,N/A,N/A
KEF,9.00,0,9.01,8.84,8.84,"11,854",,,N/A,N/A
KKHC,363.00,-1.09,379.00,360.00,372.00,"23,068",,,N/A,N/A
KMCDB,"1,066.30",-2.88,"1,100.00","1,057.50","1,100.00","3,089",,,N/A,N/A
KPCL,548.50,-0.27,560.00,545.00,560.00,"16,114",,,N/A,N/A
KSBBL,451.00,-2.38,463.00,447.60,463.00,"49,532",,,N/A,N/A
KSY,8.88,1.14,8.88,8.71,8.71,"1,380",,,N/A,N/A
LBBL,459.00,-0.86,467.00,454.90,462.20,"34,117",,,N/A,N/A
LBBLD89,"1,190.00",0,"1,190.00","1,190.00","1,190.00",100,,,N/A,N/A
LBLD88,"1,025.00",-0.49,"1,025.00","1,025.00","1,025.00",105,,,N/A,N/A
LEC,215.00,-1.83,221.30,213.10,219.00,"155,901",,,N/A,N/A
LICN,"1,091.00",-1.01,"1,115.00","1,090.00","1,115.00","17,673",,,N/A,N/A
LLBS,"1,138.00",-1.47,"1,160.00","1,111.40","1,140.00","4,707",,,N/A,N/A
LSL,223.00,-2.19,230.00,222.00,230.00,"63,139",,,N/A,N/A
LUK,9.59,-0.1,9.59,9.51,9.51,900,,,N/A,N/A
LVF2,9.20,-1.08,9.35,9.12,9.12,"5,500",,,N/A,N/A
MAKAR,749.00,-1.95,794.60,745.40,770.00,"7,932",,,N/A,N/A
MANDU,906.00,-1.21,920.00,901.30,917.00,"6,107",,,N/A,N/A
MATRI,"1,288.00",-0.85,"1,322.00","1,247.00","1,273.10","1,402",,,N/A,N/A
MBJC,332.00,-0.87,336.00,330.00,332.00,"36,887",,,N/A,N/A
MBL,227.20,-1.22,232.40,226.00,232.40,"48,753",,,N/A,N/A
MCHL,595.00,0,611.00,583.10,583.10,"6,459",,,N/A,N/A
MDB,660.30,-2.35,683.00,656.00,679.00,"26,872",,,N/A,N/A
MEHL,597.00,-2.12,609.90,584.00,598.00,"17,543",,,N/A,N/A
MEL,338.00,-2.03,348.00,331.10,343.50,"77,885",,,N/A,N/A
MEN,596.00,-0.67,600.00,592.30,600.00,"42,954",,,N/A,N/A
MERO,734.00,-3.17,750.00,732.20,750.00,"12,345",,,N/A,N/A
MFIL,627.00,0,629.00,621.00,621.00,"19,283",,,N/A,N/A
MFLD85,"1,056.10",0.1,"1,061.00","1,056.10","1,061.00",225,,,N/A,N/A
MHCL,556.00,-1.07,573.20,550.00,573.20,"18,107",,,N/A,N/A
MHL,758.00,-1.69,798.00,755.00,777.00,"4,545",,,N/A,N/A
MHNL,265.20,-4.88,284.00,263.80,284.00,"50,890",,,N/A,N/A
MKCL,"1,630.00",-1.21,"1,682.90","1,610.00","1,650.00","7,337",,,N/A,N/A
MKHC,569.00,-2.4,580.00,555.00,573.00,"42,788",,,N/A,N/A
MKHL,695.00,-0.86,702.00,688.70,688.70,"28,232",,,N/A,N/A
MKJC,564.00,2.92,566.00,546.00,555.70,"24,899",,,N/A,N/A
MLBBL,"1,648.90",-0.85,"1,680.00","1,635.00","1,635.00","2,641",,,N/A,N/A
MLBL,444.00,-5.11,465.00,435.20,458.60,"829,355",,,N/A,N/A
MLBS,"1,861.10",-1.94,"1,903.80","1,860.00","1,870.00","1,169",,,N/A,N/A
MLBSL,"2,298.00",-1.37,"2,314.00","2,270.00","2,290.00","2,055",,,N/A,N/A
MMF1,8.61,0.47,8.74,8.43,8.51,"29,335",,,N/A,N/A
MMKJL,725.00,-0.14,730.00,702.00,720.00,"10,660",,,N/A,N/A
MNBBL,373.10,-1.82,381.00,373.00,380.00,"54,347",,,N/A,N/A
MNBBLP,221.00,0,221.00,221.00,221.00,"50,000",,,N/A,N/A
MNMF1,9.01,-0.55,9.12,8.92,8.92,"24,660",,,N/A,N/A
MPFL,646.00,-3.13,676.50,644.00,668.00,"17,488",,,N/A,N/A
MSHL,930.00,-4.12,970.00,930.00,970.00,"3,800",,,N/A,N/A
MSLB,"1,345.00",-0.16,"1,345.00","1,322.10","1,330.00","5,357",,,N/A,N/A
NABBC,"1,913.00",0.26,"2,000.00","1,865.00","1,869.90","73,244",,,N/A,N/A
NABIL,491.10,0.02,494.90,485.00,494.90,"71,238",,,N/A,N/A
NABILD87,"1,050.00",0.77,"1,050.00","1,050.00","1,050.00",25,,,N/A,N/A
NADEP,909.00,-0.11,920.00,905.00,908.00,"3,479",,,N/A,N/A
NBF2,9.45,-0.84,9.55,9.36,9.36,"8,750",,,N/A,N/A
NBF3,9.40,0,9.49,9.09,9.22,"37,300",,,N/A,N/A
NBL,254.00,0,259.00,252.20,257.00,"60,787",,,N/A,N/A
NBLD85,"1,040.00",1.46,"1,040.00","1,040.00","1,040.00",200,,,N/A,N/A
NBLD87,"1,021.50",-0.05,"1,032.00","1,021.50","1,025.00",210,,,N/A,N/A
NESDO,"1,928.00",-2.63,"1,975.00","1,923.00","1,975.00","1,690",,,N/A,N/A
NFS,724.50,-1.42,745.00,720.20,735.00,"31,019",,,N/A,N/A
NGPL,275.50,-1.25,284.00,275.10,284.00,"64,290",,,N/A,N/A
NHDL,873.00,-1.24,919.00,860.10,901.00,"16,085",,,N/A,N/A
NHPC,214.00,-0.93,220.10,212.40,220.10,"116,318",,,N/A,N/A
NIBLGF,8.60,0.23,8.75,8.58,8.58,"53,599",,,N/A,N/A
NIBLSTF,8.48,2.17,8.48,8.25,8.30,"3,940",,,N/A,N/A
NIBSF2,8.30,0,8.38,8.16,8.16,"26,080",,,N/A,N/A
NICA,378.00,-1.56,389.70,375.00,381.00,"47,059",,,N/A,N/A
NICAD85/86,"1,075.00",0.44,"1,075.00","1,075.00","1,075.00",300,,,N/A,N/A
NICD88,"1,025.00",0.44,"1,030.00","1,015.00","1,015.00",205,,,N/A,N/A
NICFC,9.09,-0.22,9.10,9.03,9.03,"3,200",,,N/A,N/A
NICL,993.00,-0.1,"1,001.00",985.30,"1,001.00","20,264",,,N/A,N/A
NICLBSL,664.90,-1.19,673.00,662.10,662.10,"10,118",,,N/A,N/A
NICSF,9.18,0.66,9.18,9.00,9.00,"1,383",,,N/A,N/A
NIFRA,272.70,-0.84,280.50,271.00,280.50,"206,328",,,N/A,N/A
NIL,770.00,-0.65,789.00,760.10,789.00,"9,864",,,N/A,N/A
NIMB,217.70,-1.05,224.30,215.50,224.30,"74,085",,,N/A,N/A
NIMBPO,156.00,-4.88,160.80,156.00,160.80,"39,311",,,N/A,N/A
NLG,877.00,-2.23,900.00,870.00,890.00,"89,435",,,N/A,N/A
NLIC,784.80,-0.15,799.00,771.00,799.00,"41,390",,,N/A,N/A
NLICL,644.00,0.17,654.90,638.40,650.00,"27,327",,,N/A,N/A
NLO,276.90,0,276.90,276.90,276.90,2,,,N/A,N/A
NMB,254.00,-0.78,256.00,251.00,256.00,"58,655",,,N/A,N/A
NMB50,10.29,-2,10.38,10.29,10.36,"533,204",,,N/A,N/A
NMBMF,726.30,-2.78,776.00,725.30,732.20,"4,713",,,N/A,N/A
NMFBS,"1,277.00",-1.12,"1,300.00","1,270.30","1,290.00","8,074",,,N/A,N/A
